input:,course,feeling,wordlimit,output:
請生成 分析化學（二）課程的正面心得並限制在89字內, 分析化學（二）,正面,89,分析化學(二)比較屬於介紹儀器原理和應用，比較多需要背誦的東西，考試需要記很多的名詞解釋，但有整理好的考前重點複習，所以不用太擔心，老師上課有許多小規定，像是不能吃東西用3c等等
請生成 英語發音（二）課程的負面心得並限制在109字內,工程數學(一),負面,109,開學前三週我一直以為這老師很有料，但直到他開始教課才發現這人上課都直接糊過去的，什麼都沒講就直接開始放計算題，但又講不了什麼。建議自己看參考書，老師講義做的非常亂。
請生成 配位化學概論課程的正面心得並限制在85字內, 配位化學概論,正面,85,老師只會教半學期的課，後半學期則是給小組分組然後報告，之後還要拍一部和配位化學相關的影片，整體下來雖有點麻煩，但老師給分還算甜，不過學到的東西感覺很少，需要自己課後查閱。
請生成 普通物理實驗（二）課程的正面心得並限制在83字內, 普通物理實驗（二）,正面,83,經過了上學期的磨練，在數據處理上有很大的進步，算起來也比較快，只是這學期的內容跟上學期蠻不一樣的，記得有一次接電路接到很崩潰，覺得好難，但後面幾次就還好了，還算輕鬆。
請生成 邏輯思考與應用課程的正面心得並限制在154字內, 邏輯思考與應用,正面,154,上課會要寫筆記或者拍起來黑板，這樣才有東西可以復習，不然就是超強大腦，算是一門大部分人要讀書讀懂才可以拿到高分的課程，畢竟大部分比例都是算考試成績，會公佈成績在moodle上面，所以如果期中快被當了就可以及時退選，有趣的是上台回答問題正確可以一次加85基金1分，就是總成績沒有85分可以用這個方式加到85分。
請生成《楚辭‧九歌》與神話、巫風課程的正面心得並限制在105字內,《楚辭‧九歌》與神話、巫風,正面,105,對神話感興趣所以選了這門課，老師每次進教室時都會很有活力的跟大家打招呼、講課時咬字也非常清晰，會忍不住被老師說的話吸引。每週上課老師都會準備自己編的講義，讓看不太到投影幕的人也可以跟讀，下課後也有講義能夠複習。
請生成Python 計算機程式設計課程的正面心得並限制在148字內,Python 計算機程式設計,正面,148,第一堂課，要加簽的人排到教室外 (目測20多人) 但期中後停修的人數也是接近2、30人 (老師還會提醒各位停修最後期限，去找就是全簽...怕) 修課下來覺得老師的Python教得很扎實 但是作業真的很多... 而且非常的難 不甜不涼的課程，望各位三思。
請生成人工智慧於電力系統之應用課程的正面心得並限制在198字內,人工智慧於電力系統之應用,正面,198,本課程主要會以電力系統為背景，搭配使用啟發式演算進行輔助，所以在選課前須要有基本電力系統概念，才能了解老師的上課內容。除了可學到人工智慧基本學理與方法介紹(PSO、GA演算法)、圖脈理論介紹、電力系統元件塑模介紹、電力系統分析法(牛頓法，牛頓拉森法，快速解耦合法)介紹，以及電力系統規劃與運轉應用之範例。在完成作業的過程中，學習到文獻搜尋及如何過濾文獻的參考度，最後能更加深刻學到電力系統的概況。
請生成人生哲學與批判性思考課程的正面心得並限制在85字內,人生哲學與批判性思考,正面,85,是一堂很輕鬆的課，可以把他當成聽故事，老師會分成科學革命、 工業革命、大數據時代去做講解，也會有西方神話人物的故事，考試只要寫你最有印象的部分，加入自己的見解。
請生成人生哲學與批判思考課程的正面心得並限制在86字內,人生哲學與批判思考,正面,86,老師人很好，上課氛圍很輕鬆自在。每週都有一個主題，課堂主要互動方式是老師會根據該主題提出問題，有想法就可以回答（老師也會給予回饋），有點像辯論，就像課堂名稱寫的批判性思考。
請生成人格心理學課程的正面心得並限制在63字內,管理學,正面,63,這堂課讓我受益良多，平常自己沒有習慣寫日記，但經過每週這樣持續下來，很習慣將自己的心情寫下來，也可以順便檢視自己哪裡還有不足的地方需要改和透過這個作業更了解自己。訪談小組作業讓我更了解企業是如何管理好各個方面，經過多年的社會經驗得出自己企業不一樣的管理文化。
請生成土風舞課程的正面心得並限制在78字內,土風舞,正面,78,就算生病也要到現場坐在旁邊看~~老師會很讚賞這種很有學習精神的行為！另外，如果跳土風舞跳得特別認真的人，老師還會特別加分。總結來說，老師蠻喜歡認真的學生的！
請生成大學入門課程的負面心得並限制在136字內,大學入門,負面,136,課程多為講座，每次聽完都需要寫心得，雖然只要30字，但有幾個講座其實沒有什麼收穫。 關於地科系實驗室介紹的部分，主要是講解各組別有哪些課程以及教授們的專長。 這堂課收穫不多，每堂課都要去，請假兩次（含）以上，就要再補繳一篇800字心得，修習其他課程可能比修習大學入門更好。
請生成女性文學、性別平等理論與婦運課程的負面心得並限制在83字內,歷史與電影,負面,83,這堂課的難度有點高，適合喜歡挑戰自己的同學來選，如果只是要畢業學分可以選擇另一位老師的歷史與電影，如果已經選到了，那一定要認真準備，如果上課答不出來老師的問題，你的分數就會扣很多。
請生成女性主義課程的正面心得並限制在83字內,女性主義,正面,83,分數超級無敵高XD 一定要選！但是老師上課偏無聊就是了，但是如果是真心對女性主義和婦女運動有興趣的人可以考慮來修她的課！她會講蠻多的！當然只是想要來混分的也可以來XD
請生成中文寫作與表達課程的正面心得並限制在81字內,中文寫作與表達,正面,81,這堂課真的是又甜又涼！老師聲音很溫柔，那時候是早八上課，真的會很想睡⋯，而課堂作業都不會到太難，有寫一點東西就會有分數
請生成中文寫作與表達課程的正面心得並限制在158字內,中文寫作與表達,正面,158,印象中是第二次上課要分組，組員自己找。但上次已經分組過了，所以基本上組員會一樣。 上課蠻輕鬆的！老師會根據上課的主題讓大家一起分組討論後發表～ 我覺得老師人真的超級讚的！不管發表什麼，老師都會認真的去理解同學的想法並給予回饋。 另外，分數是根據上課的投入程度，而不是你作業寫的好壞去區分的，所以不用太擔心分數的問題！
請生成中文閱讀與思辨課程的正面心得並限制在156字內,中文閱讀與思辨,正面,156,第一次上課老師會給一本50元的講義，那本講義裡面是這學期上課的文章，學生內容就是讀講義的文章，然後回答文章中的問題，或者有一些自我思考，之後寫在一本屬於自己的本子裡，題目都不難、回答問題也沒有一個正確答案，老師希望學生有自我思考跟表達的能力，我覺得上課的內容不無聊然後我也很喜歡，是一個有學習到東西但又不硬的課。
請生成中文閱讀與思辨課程的正面心得並限制在95字內,中文閱讀與思辨,正面,95,因為出席只佔10%，所以我只有去6次左右。但作業與團體報告我都很認真，期末考也有朋友的筆記幫助，所以有Ａ＋，真的很讚。期末考10題其實也不難，在老師講義裡找或許有答案，但有幾題是自由思考的。
請生成中文閱讀與思辨課程的正面心得並限制在137字內,中文閱讀與思辨,正面,137,印象中是第二次上課要分組，組員自己找。 上課蠻輕鬆的！老師會根據上課的主題讓大家一起分組討論後發表～ 我覺得老師人真的超級讚的！不管發表什麼，老師都會認真的去理解同學的想法並給予回饋。 另外，分數是根據上課的投入程度，而不是你作業寫的好壞去區分的，所以不用太擔心分數的問題！
請生成中文閱讀與思辨課程的正面心得並限制在116字內,中文閱讀與思辨,正面,116,每次分組討論時老師都會依照座位分組，所以如果想認識更多的人可以每次上課都座不同的位子喔 ! 老師人真的很好很溫柔也很支持我們分享自己的意見，我覺得老師還蠻注重獨立思考的 ! 最後的期末報告可以發揮一下創意，或許會拿到更高的分數喔 ~
請生成中文閱讀與思辨課程的正面心得並限制在89字內,中文閱讀與思辨,正面,89,老師上課的方式跟一般國文課超不一樣，分析韓劇、台劇等，超貼近學生，也讓我們用不同角度去多次思辨平常不太會注意到的細節，整個課程完全不像死板的國文課，更像是一起思辨、師生交流的課！
請生成中級日語（一）課程的正面心得並限制在98字內,中級日語（一）,正面,98,使用日本語gogogo 3，16週沒把整本上完（中間還有碰到放假什麼的），但老師很努力趕課，所以語速和進度有點快，需要滿專注才能跟上，大部分課前會有單字小考，但也不難，期中、期末考試有看課本就可以
請生成中級寫作（二）課程的正面心得並限制在85字內,中級寫作（二）,正面,85,這堂課是系上必修，我覺得上多德老師的課有一個好處是常常放假，常常沒事就會停課，蠻開心的，而聘長的小作業都是很輕鬆能完成，不需要額外花很多時間去準備，但四篇作文就需要認真寫
